Numer,Coor_t,Coor_n,abc,beta,long,10,13.2,16.35,19.15,22.8
0,0,0,0,1.5708,0.004,-7,-15,-19,-31,-47
1,1,4,0.010526,1.2278,0.0037165172,-72.07062028,-133.5608759,-192.7054694,-275.290549,-402.6826278
2,2.5,7,0.019088,1.0304,0.0029154759,-125,-230,-334,-474,-692
3,4,9,0.025471,0.838,0.003363406,-168,-318,-461,-644,-935
4,7,12,0.036301,0.7854,0.0035355339,-180,-334,-493,-684,-1000
5,9,14,0.043522,0.5281,0.003473111,-162,-299,-438,-607,-888
6,13,15.5,0.054428,0.2337,0.010793517,-147.5811283,-269.5697003,-394.3483474,-545.9666938,-798.523988
7,30,19,0.098737,0.1739,0.018783304,-89,-150,-217,-298,-435
8,50,22,0.15037,0.1244,0.020155644,-77.43510101,-131.3955973,-189.8476285,-261.5454271,-380.9466678
9,70,24,0.20168,0.0997,0.020099751,-65.94254844,-112.9075779,-162.8651137,-225.3189027,-327.2314764
10,90,26,0.25299,0.0749,0.020056171,-54.44999586,-94.41955856,-135.882599,-189.0923783,-273.516285
11,110,27,0.30411,0.025,0.020006249,-43,-76,-109,-153,-220
12,130,27,0.35517,0,0.02,-38.7524956,-68.25455079,-98.25631239,-138.008808,-198.2627716
13,150,27,0.40623,6.2582,0.020006249,-34.50499119,-60.50910159,-87.51262478,-123.017616,-176.5255432
14,170,26,0.45735,6.2332,0.020024984,-30.2524956,-52.75455079,-76.75631239,-108.008808,-154.7627716
15,190,25,0.50847,6.2332,0.020024984,-26,-45,-66,-93,-133
16,210,24,0.55959,6.2332,0.020024984,-23.33333333,-39.66666667,-58,-81.33333333,-117
17,230,23,0.61071,6.2332,0.020024984,-20.66666667,-34.33333333,-50,-69.66666667,-101
18,250,22,0.66183,6.2332,0.020024984,-18,-29,-42,-58,-85
19,270,21,0.71295,6.2064,0.019557607,-14.05144911,-22.64798334,-32.0427847,-44.43758606,-65.42892165
20,289,19,0.76173,6.1661,0.017117243,-10.28364174,-16.58672801,-22.54135742,-31.49598684,-46.75370252
21,304,17,0.80036,6.1764,0.014080128,-7.299828727,-11.786681,-15.0169594,-21.2472378,-31.96436847
22,317,16,0.83364,6.1413,0.014142136,-4.729254122,-7.651408805,-8.53464083,-12.41787285,-19.22325956
23,332,13,0.87269,6.111,0.011672618,-1.712999966,-2.799173859,-0.9284346979,-2.057695537,-4.273130268
24,340,12,0.89328,6.0978,0.0081394103,-0.1226114115,-0.2407227054,3.082110354,3.404943413,3.609665178
25,348,10,0.91433,6.0564,0.006670832,1.503307922,2.374886657,7.18225476,8.989622863,11.6685697
26,353,9,0.92734,5.9971,0.0088600226,2.508211035,3.991469926,9.716358263,12.4412466,16.64939383
27,365,5,0.9596,5.96,0.014230249,5,8,16,21,29
0,0,0,0,1.57,0.004,-7,-15,-19,-31,-47
-1,2,-4,0.011468,2.0899,0.0040311289,39,71,103,142,206
-2,4,-7,0.020713,2.0701,0.003132491,61,112,164,224,317
-3,5,-9.5,0.027618,2.3562,0.0028284271,65,116,170,230,332
-4,8,-11,0.036219,2.6779,0.003913119,57.71392266,104.4279948,152.4276958,207.7131752,297.7125772
-5,12,-13,0.047686,2.6779,0.004472136,48,89,129,178,252
-6,16,-15,0.059154,2.8966,0.010307764,42,78,111,157,216
-7,32,-18,0.1009,2.9764,0.018248288,30.85060787,57.93109416,84.68743457,115.970237,161.1449907
-8,52,-21,0.15276,3.1949,0.020188177,17,33,52,65,93
-9,72,-23.5,0.20444,3.0172,0.020155644,11.00058044,21.50111251,33.50178969,42.50217665,61.00309568
-10,92,-26,0.25613,3.0543,0.020076417,5,10,15,20,29
-11,112,-27,0.30748,3.089,0.019026298,2.947641886,5.638739009,8.842925659,11.53402278,16.17276179
-12,130,-28,0.3537,3.1153,0.019006578,1.100319744,1.713179456,3.300959233,3.913818945,4.626998401
-13,150,-28,0.40499,3.14,0.020001562,-0.9496402878,-2.642985612,-2.848920863,-4.542266187,-8.185251799
-14,170,-27.5,0.45629,3.1541,0.020014058,-3,-7,-9,-13,-21
-15,190,-26.5,0.50764,3.1791,0.020039024,-1.508221486,-3.71808727,-4.524664459,-6.734530242,-11.45261751
-16,210,-25,0.55907,3.204,0.01913276,-0.01411887746,-0.4310615304,-0.04235663239,-0.4592992853,-1.890360816
-17,228,-22,0.60586,3.2595,0.019235384,1.345186218,2.55940968,4.035558654,5.249782116,6.809191796
-18,248,-19,0.65772,3.2982,0.020303941,2.851780838,5.873917843,8.555342514,11.57747952,16.45139736
-19,268,-15,0.71002,3.3148,0.020262342,4.37115798,9.216547557,13.11347394,17.95886352,26.17541107
-20,288,-12.5,0.76171,3.3027,0.01764405,5.872813898,12.52019058,17.61844169,24.26581837,35.78600895
-21,303,-10.5,0.80051,3.2695,0.014673531,7,15,21,29,43
-22,317,-8,0.83698,3.2955,0.016157429,6.521610809,14.04322162,19.56483243,26.84724864,39.65127566
-23,335,-6,0.88342,3.2813,0.013557747,5.912441792,12.82488358,17.73732538,24.10598806,35.38709254
-24,344,-5.5,0.90653,3.2339,0.0085330241,5.60930019,12.21860038,16.82790057,22.74185086,33.26510133
-25,352,-4.5,0.92721,3.2296,0.0065431262,5.338033712,11.67606742,16.01410113,21.5211517,31.36623598
-26,357,-4,0.94009,3.2565,0.0050249378,5.169082442,11.33816488,15.50724733,20.76087099,30.1835771
-27,362,-3.5,0.95298,3.2413,0.011672618,5,11,15,20,29
